FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
137	589	BG	23850	Yantra	Karantsi	BG	0	0	6860	30.9	1991	2021	43.3803	25.6672	6871	0	43.375	25.675	43.3804	25.6679	6862	43.375	25.675	6871	0
138	590	BG	23400	Dzhulunitsa	Dzhuliunitsa	BG	0	0	882	62.02	1991	2021	43.133	25.9059	902	0	43.125	25.90833	43.1329	25.9054	884	43.125	25.9083	902	0
139	591	BG	31550	Cherni_Lom	Shirocooe	BG	0	0	1383	92.81	2015	2021	43.5529	25.9458	1411	0	43.55833	25.94167	43.5529	25.9454	1394	43.5583	25.9417	1411	0
140	657	HU	444507	Kraszna	Agerdomajor	HU	0	0	1974	-	1991	2021	47.763	22.4201	1964	0	47.75833	22.425	47.7629	22.4204	1968	47.775	22.4083	2121	1
141	660	HU	444361	Koros	Bekes	HU	0	0	9011	-	2015	2021	46.7856	21.1419	10759	0	46.8596	21.0936	46.7854	21.1421	11387	46.7583	21.175	9141	1
142	663	HU	444382	Barcau	Berettyoujfalu	HU	0	0	3712	-	2015	2021	47.2077	21.5394	3746	0	47.20833	21.54167	47.2079	21.5388	3681	47.2083	21.5417	3746	0
143	664	HU	442027	Danube	Budapest	HU	0	0	184893	-	2015	2021	47.4949	19.0483	184824	0	47.49167	19.04167	47.4929	19.0471	184226	47.4917	19.0417	184824	0
144	665	HU	444244	Somea	Csenger	HU	0	0	15283	-	1994	2021	47.841	22.6924	15326	0	47.84167	22.69167	47.8404	22.6929	15352	47.8417	22.6917	15326	0
145	667	HU	442540	Danube	Dombori-puszta	HU	0	0	189538	-	2015	2021	46.4227	18.8957	188655	0	46.425	18.89167	46.4204	18.8971	187902	46.425	18.8917	188655	0
146	670	HU	444282	Bodrog	Felsoberecki	HU	0	0	12886	-	2015	2021	48.3566	21.692	12853	0	48.35833	21.69167	48.3563	21.6921	12509	48.3583	21.6917	12853	0
147	671	HU	444371	Harmas-Koros	Gyoma	HU	0	0	19715	-	2015	2021	46.9449	20.8443	14980	0	46.94167	20.84167	46.9446	20.8454	19842	46.9417	20.8417	14980	0
148	674	HU	444543	Zagyoe	Hatoen	HU	0	0	1222	-	2015	2021	47.662	19.6826	1221	0	47.65833	19.69167	47.6613	19.6829	1203	47.675	19.675	1212	1
149	675	HU	444322	Hornad	Hidasnemeti	HU	0	0	4515	-	2015	2021	48.4975	21.2285	4497	0	48.49167	21.225	48.4971	21.2287	4464	48.5083	21.2417	4476	1
150	676	HU	442626	Dobroda	Ipolytarnoc	HU	0	0	1123	-	2015	2021	48.2362	19.606	1206	0	48.24167	19.60833	48.2362	19.6062	1126	48.2417	19.625	1128	1
151	677	HU	444548	Zagyoe	Jasztelek	HU	0	0	4207	-	1991	2021	47.4838	19.9938	3974	0	47.49167	19.99167	47.4838	19.9946	4088	47.475	20.0083	4118	1
152	678	HU	444537	Tisza	Kiskore_also	HU	0	0	65670	-	2015	2021	47.4927	20.5165	65452	0	47.50833	20.54167	47.5029	20.5179	65239	47.5083	20.5417	65452	0
153	682	HU	444333	Crioul_Repede	Korosszakal	HU	0	0	2489	-	2015	2021	47.0116	21.6081	2836	0	47.00833	21.60833	46.9554	21.6596	2688	47.00833	21.60833	2836	0
154	684	HU	444372	Harmas-Koros	Kunszentmarton	HU	0	0	27354	-	2015	2021	46.8481	20.2725	28339	0	46.84167	20.275	46.8479	20.2729	26799	46.875	20.2917	28306	1
155	686	HU	444396	Mures	Mako	HU	0	0	30149	-	1991	2021	46.2026	20.4556	29497	0	46.20833	20.45833	46.2021	20.4554	29880	46.2083	20.4583	29497	0
156	690	HU	442525	Ipel	Nogradszakal	HU	0	0	1850	-	2015	2021	48.191	19.5296	1843	0	48.19167	19.525	48.1913	19.5296	1831	48.2083	19.525	1831	1
157	693	HU	444563	Barcau	Pocsaj	HU	0	0	3502	-	2015	2021	47.2784	21.7975	3451	0	47.275	21.79167	47.2779	21.7979	3541	47.275	21.7917	3451	0
158	696	HU	442512	Raba	Saroer	HU	0	0	5566	0	2015	2021	47.2467	16.9538	5548	0	47.24167	16.95833	47.2471	16.9546	5537	47.2417	16.9583	5548	0
159	697	HU	442634	Sio	Siojut	HU	0	0	5884	0	2017	2021	46.8826	18.1404	5781	0	46.875	18.14167	46.8829	18.1404	5747	46.875	18.1417	5781	0
160	699	HU	442131	Raba	Szentgotthard	HU	0	0	3084	0	1991	2021	46.9573	16.2759	3075	0	46.95833	16.275	46.9704	16.2762	3089	46.9583	16.275	3075	0
161	700	HU	444229	Tisza	Szolnok	HU	0	0	73113	0	1991	2021	47.1695	20.1888	72994	0	47.175	20.19167	47.1688	20.1887	72673	47.175	20.1917	72994	0
162	701	HU	444226	Tisza	Tiszabecs	HU	0	0	9707	0	2015	2021	48.1034	22.8288	9219	0	48.10833	22.825	48.1037	22.8296	9196	48.1083	22.825	9219	0
163	703	HU	444530	Tisza	Tiszapalkonya	HU	0	0	62730	0	1991	2021	47.8934	21.0582	62479	0	47.89167	21.05833	47.8937	21.0587	62305	47.9083	21.0583	62460	1
164	706	HU	444227	Tisza	oesarosnameny	HU	0	0	29057	0	2015	2021	48.1268	22.3394	28538	0	48.125	22.34167	48.1271	22.3388	28341	48.125	22.3417	28538	0
165	707	HU	444510	Tisza	Zahony	HU	0	0	32782	0	2015	2021	48.4131	22.1728	32482	0	48.40833	22.175	48.4138	22.1729	32572	48.4083	22.175	32482	0
166	713	HU	444666	Barcau	Agota	HU	0	0	3134	0	2015	2021	47.3779	21.0221	2528	0	47.375	21.025	47.3779	21.0229	3316	47.3917	21.0417	2332	1
167	715	HU	442601	Mosoni-Duna	Bacsa	HU	0	0	17732	0	2015	2020	47.7251	17.6763	17859	0	47.725	17.675	47.7246	17.6762	17644	47.725	17.675	17859	0
168	775	RO	44119	oeseu	Bistra	RO	0	0	1547	1020	1991	2021	47.863	24.1931	1565	0	47.85833	24.19167	47.8629	24.1929	1542	47.8583	24.1917	1565	0
169	777	RO	44210	Somesul_Mare	Beclean	RO	0	0	4347	711	2000	2021	47.177167	24.151194	4347	0	47.175	24.15833	47.1779	24.1513	4333	47.175	24.1583	4347	0
170	778	RO	44459	Crisul_Negru	Zerind	RO	0	0	3702	351	1991	2021	46.627167	21.515611	4060	0	46.625	21.525	46.6271	21.5162	3992	46.625	21.525	4060	0
171	779	RO	44409	Crisul_Alb	Chisineu_Cris	RO	0	0	3586	351	2000	2021	46.519528	21.509667	3586	0	46.525	21.50833	46.5196	21.5104	3942	46.525	21.5083	3586	0
172	780	RO	44580	Barcau	Salard	RO	0	0	1691	254	2000	2021	47.231528	22.028167	1691	0	47.225	22.025	47.2313	22.0279	1604	47.225	22.025	1691	0
173	781	RO	44610	Mures	Ocna_Mures	RO	0	0	9935	703	1991	2021	46.395333	23.852694	9935	0	46.39167	23.85833	46.3954	23.8521	9902	46.3917	23.8917	9901	1
174	782	RO	44612	Mures	Alba_Iulia	RO	0	0	18055	625	1991	2021	46.036056	23.581361	18027	0	46.04167	23.575	46.0379	23.5812	17961	46.0417	23.5917	18012	1
175	784	RO	44681	Aries	Turda	RO	0	0	2367	897	1991	2021	46.566278	23.784444	2367	0	46.55833	23.775	46.5662	23.7846	2369	46.5583	23.775	2367	0
176	785	RO	44720	Tarnaoe_Mare	Mihalt	RO	0	0	6254	532	2000	2021	46.171611	23.730167	6254	0	46.175	23.74167	46.1721	23.7296	6215	46.175	23.725	6258	1
177	786	RO	42119	Timis	Sag	RO	0	0	4493	477	1991	2021	45.6462	21.1781	4408	0	45.64167	21.175	45.6463	21.1779	4383	45.6417	21.175	4408	0
178	787	RO	42231	Jiu	Podari	RO	0	0	9334	446	1991	2021	44.260139	23.78675	9294	0	44.25833	23.79167	44.2587	23.7863	9280	44.2583	23.775	9259	1
179	788	RO	42450	Oltet	Bals	RO	0	0	2110	414	2000	2021	44.348333	24.098889	2110	0	44.34167	24.10833	44.3479	24.0979	2093	44.3583	24.1083	2105	1
180	789	RO	42471	oedea	Alexandria	RO	0	0	3295	195	2000	2021	43.986778	25.318806	3295	0	43.99167	25.325	43.9871	25.3187	3276	43.9917	25.325	3295	0
181	790	RO	42557	Neajlov	Calugareni	RO	0	0	1864	130	2000	2021	44.171167	25.996917	1864	0	44.15833	25.99167	44.17	25.997	3512	44.175	26.0083	3532	1
182	791	RO	42630	Prahooe	Adancata	RO	0	0	3710	549	2000	2021	44.755833	26.460583	3710	0	44.75833	26.45833	44.7554	26.4604	3675	44.7583	26.4583	3710	0
183	792	RO	42718	Suceaoe	Itcani	RO	0	0	2341	629	2000	2021	47.672778	26.234639	2341	0	47.675	26.225	47.6729	26.2346	2350	47.675	26.225	2341	0
184	793	RO	42839	Trotus	oeanceni	RO	0	0	4087	734	2000	2021	46.209667	26.89525	4087	0	46.20833	26.89167	46.2088	26.8954	4071	46.2083	26.8917	4087	0
185	794	RO	42873	Putna	Botarlau	RO	0	0	2543	554	2000	2021	45.632194	27.386417	2543	0	45.625	27.39167	45.6329	27.3871	2491	45.625	27.3917	2543	0
186	795	RO	42911	Barlad	Tecuci	RO	0	0	177	220	2000	2021	45.8446	27.4403	177	0	45.84167	27.44167	45.8346	27.4429	174	45.8417	27.4417	177	0
187	796	RO	42708	Siret	Dragesti	RO	0	0	11899	525	1991	2021	46.723639	26.945444	11849	0	46.725	26.94167	46.7246	26.9454	11986	46.6917	26.9417	12104	1
188	797	RO	42945	Prut	Radauti	RO	0	0	9074	529	1991	2021	48.238806	26.824	9309	0	48.24167	26.825	48.2413	26.8271	9280	48.2417	26.825	9309	0
189	798	RO	42001	Danube	Bazias	RO	0	0	570896	-999	1991	2021	44.8087	21.3901	562383	0	44.80833	21.39167	44.8079	21.3846	567951	44.8083	21.3917	562383	0
190	799	RO	42309	Olt	Hoghiz	RO	0	0	7225	797	2000	2021	45.991889	25.301083	7158	0	45.99167	25.30833	45.9921	25.3004	7153	45.9917	25.3083	7158	0
191	800	RO	44405	Crisul_Alb	Gurahont	RO	0	0	1608	515	2000	2021	46.277722	22.34225	1608	0	46.275	22.35833	46.2779	22.3413	1585	46.275	22.3583	1608	0
192	801	RO	42153	Barzaoe	Gataia	RO	0	0	719	359	2000	2021	45.439	21.4342	719	0	45.44167	21.44167	45.4387	21.4346	695	45.4417	21.4417	719	0
193	802	RO	42109	Timis	Lugoj	RO	0	0	2707	666	2000	2021	45.6837	21.9073	2707	0	45.675	21.90833	45.6829	21.9071	2786	45.675	21.9083	2707	0
194	803	RO	42741	Moldooe	Tupilati	RO	0	0	3940	703	2000	2021	47.084639	26.648111	3940	0	47.09167	26.65833	47.0854	26.6479	3948	47.0917	26.6417	3935	1
